method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
FairAA_Adv,3.0,0.6926064908722109,0.63336,0.28348163824721284,0.04253705726322354,0.14368274111675125,0.1358333333333333,0.1448325800527182,0.035601698130519506,0.5,0.5120141530296329,0.03918940487237955,0.027361907605641556,0.030728488410593866,0.024787670400857813,0.02885368300072341,0.08558643475626554,0.09362646181423205,0.009423977665260737,0.02133878760943784,0.0,0.019645747770534766,0.017258985155466804
FairAA_Adv,10.0,0.6922944297082227,0.63376,0.2844560881970818,0.042452800748946744,0.15566835871404394,0.14749999999999994,0.14438021080654698,0.01926145933341869,0.5,0.5195541795665634,0.019978398615136176,0.027435190953191947,0.033398203544502215,0.025976411889191517,0.02824860755445354,0.07908527161061273,0.08851102410936668,0.009374983941296749,0.010554430040718009,0.0,0.01960291666991211,0.010085409796989093
FairAA_Adv,30.0,0.6760508659697301,0.58672,0.2711347929011701,0.041154626306756065,0.1493654822335025,0.13566666666666663,0.1441550508126168,0.014064798777938013,0.5,0.5330207872622733,0.007601341006895908,0.035321087397300624,0.07343450596733575,0.02831256614841706,0.025624471587231426,0.09880003975182668,0.11133709657645144,0.009145090750088911,0.006395916847744513,0.0,0.030676050022357126,0.004384919653710646
FairAA_Adv,100.0,0.5917475425183336,0.5552,0.23487308431269466,0.5643813387423935,0.6066362098138748,0.5285,0.012778662321438363,2.666675588822306,0.839187969924812,0.9239946926138878,0.319510678522023,0.07325665313102946,0.20964732290205854,0.03400587181186105,0.3767103965364883,0.3486494468816008,0.3379662417395494,0.05717581462630162,1.3045135147831706,0.2040750694327895,0.14306609794842887,0.13099840328179108
FairPCA_AA,0.0,0.6925019503822749,0.6396000000000001,0.2889207704478599,0.05448275862068961,0.19908967851099826,0.19349999999999995,0.14756421295828842,0.036920486106245334,0.5,0.5126864219371959,0.03896961010796019,0.03011084494964726,0.03297979179234864,0.02778095688806278,0.04315538528883813,0.10322274633222316,0.10820692411267371,0.006817925252728404,0.020657876975526047,0.0,0.019542486564166288,0.015510261439570357
FairPCA_AA,0.03,0.6924980496177251,0.63952,0.2888767115190426,0.05439226088313305,0.19908967851099826,0.19349999999999995,0.13358654204067857,0.03692053004738599,0.5,0.5136576735957541,0.03896828417541178,0.03011725082126107,0.0330266559009537,0.027767823040189595,0.04299853535410659,0.10322274633222316,0.10820692411267371,0.009415423207907872,0.02065862723880917,0.0,0.019532346322918084,0.01551192051821444
FairPCA_AA,0.1,0.6925027305351849,0.6396000000000001,0.2889207704478599,0.05448275862068961,0.19908967851099826,0.19349999999999995,0.13267584284430195,0.036920594382433836,0.5,0.5134825298540469,0.03896946494251956,0.030097176057046295,0.03297979179234864,0.02778095688806278,0.04315538528883813,0.10322274633222316,0.10820692411267371,0.009397600145726706,0.020656966937505416,0.0,0.01985492193566329,0.015510394664668085
FairPCA_AA,0.3,0.692473084724606,0.63952,0.28887371588266214,0.05457325635824617,0.19908967851099826,0.19349999999999995,0.13192688370612313,0.03692270774527831,0.5,0.5129517912428129,0.038969505257082475,0.03010674392478842,0.03297615299980679,0.02775621590397232,0.04321270254760344,0.10322274633222316,0.10820692411267371,0.009717858753232566,0.020664936856529467,0.0,0.01972218861853011,0.015514667320128132
FairPCA_AA,1.0,0.6917155562490248,0.64168,0.2897159268862188,0.054245592136058625,0.18462267343485614,0.1778333333333333,0.13298766882374216,0.03720743907934275,0.5,0.5134878372401592,0.039561466891452124,0.03034145191064651,0.03442712109175944,0.028157029576810932,0.04331636260594129,0.10856832108521483,0.11470776072424382,0.009351542568199717,0.02075941303009835,0.0,0.020995493600894474,0.015347228290080502
FairPCA_AA,3.0,0.6912178186924638,0.63752,0.2884782609913323,0.050869090341706925,0.18182487309644668,0.17249999999999996,0.13666831064741644,0.03648132171165934,0.5,0.5108553737284387,0.039636784561844565,0.03042162186985117,0.03560561753431611,0.025255075145234205,0.04212992143173278,0.11009368146024306,0.11718634258687695,0.00891393602132801,0.021412108578660796,0.0,0.018754511753104768,0.014750953549617928
