method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairPCA_AA,100.0,2,0.8410970687487593,0.766,0.5836298932384342,0.016088305317076668,0.23542354235423535,0.23542354235423535,0.08733234292358982,0.030551666437495517,0.5,0.618,0.028431003793267757
Raw,,3,0.8951454597587066,0.8,0.6598639455782312,0.379662362022942,0.3058305830583058,0.3058305830583058,,,,,
AA,,3,0.8340391274620085,0.742,0.5798045602605864,0.16607748358704277,0.16116611661166114,0.16116611661166114,0.08007685333599157,0.13412454976885124,0.5429999999999999,0.5599999999999999,0.06822325190160816
FairAA,0.0,3,0.8340832395950506,0.742,0.5798045602605864,0.16607748358704277,0.16116611661166114,0.16116611661166114,0.08007685333599013,0.13412454521359018,0.5429999999999999,0.5599999999999999,0.0682232512302374
FairAA,0.03,3,0.8339067910628819,0.74,0.577922077922078,0.16907149556309065,0.16116611661166114,0.16116611661166114,0.08007594590997968,0.13072798029520338,0.542,0.549,0.06722989895586258
FairAA,0.1,3,0.8329363241359535,0.736,0.5686274509803921,0.16308347161099485,0.14136413641364132,0.14136413641364132,0.0800280139205034,0.11634509703083462,0.5410000000000001,0.56,0.06308714520920564
FairAA,0.3,3,0.8267275414102648,0.73,0.5602605863192183,0.1029507250559123,0.06600660066006603,0.06600660066006603,0.07947512141522273,0.05742650056622223,0.503,0.557,0.04178330391685666
FairAA,1.0,3,0.8138247424954234,0.724,0.551948051948052,0.015763653416059453,0.14026402640264035,0.14026402640264035,0.07787015160580568,0.008698297768371277,0.5,0.558,0.008787600728982643
FairAA,3.0,3,0.803237830565297,0.716,0.5234899328859061,0.014176466344419603,0.09685651316552607,0.07865786578657863,0.07738247488196381,0.006083926020617247,0.5,0.6140000000000001,0.0013140493327700984
FairAA,10.0,3,0.7503253269811861,0.77,0.5306122448979592,0.10670225813433373,0.14191419141914186,0.14191419141914186,-0.7466636874100665,0.07246569337782138,0.487,0.527,0.04637437469021841
FairAA,30.0,3,0.7503253269811861,0.77,0.5306122448979592,0.10670225813433373,0.14191419141914186,0.14191419141914186,-0.7466636874100665,0.07246569337782138,0.487,0.527,0.04637437469021841
FairAA,100.0,3,0.7503253269811861,0.77,0.5306122448979592,0.10670225813433373,0.14191419141914186,0.14191419141914186,-0.7466636874100665,0.07246569337782138,0.487,0.527,0.04637437469021841
FairAA_3Moment,0.0,3,0.8340832395950506,0.742,0.5798045602605864,0.16607748358704277,0.16116611661166114,0.16116611661166114,0.0800768551061325,0.13412453853603712,0.5429999999999999,0.5599999999999999,0.06822325302453609
FairAA_3Moment,0.03,3,0.8249410000220561,0.728,0.5584415584415584,0.08790852030878005,0.0005500550055005382,0.0005500550055005382,0.07925721811421615,0.04144396361594016,0.501,0.5820000000000001,0.033474222146837394
FairAA_3Moment,0.1,3,0.8178168905357418,0.728,0.5584415584415584,0.05183608686241975,0.06490649064906495,0.06490649064906495,0.07832142034963918,0.01588946300361682,0.5,0.5790000000000001,0.015606925171775598
FairAA_3Moment,0.3,3,0.8141555834932399,0.728,0.5555555555555556,0.018793737825553714,0.14026402640264035,0.14026402640264035,0.07769314532605953,0.006999891230056621,0.5,0.551,0.005991344546275786
FairAA_3Moment,1.0,3,0.8118176404420037,0.726,0.5537459283387622,0.012769641440011525,0.14026402640264035,0.14026402640264035,0.07744592565112718,0.005353047453252824,0.5,0.558,0.0020848285252315
FairAA_3Moment,3.0,3,0.8075167074703897,0.728,0.5374149659863946,0.008116297525431027,0.1342134213421342,0.1342134213421342,0.07722972685328988,0.005274207099122519,0.5,0.6150000000000001,0.0009717646565128846
FairAA_3Moment,10.0,3,0.8025540925031429,0.742,0.5505226480836237,0.13325156915085493,0.06215621562156215,0.06215621562156215,-1.1907782055148934,0.061925642834809724,0.504,0.564,0.05719317508738144
FairAA_3Moment,30.0,3,0.8025540925031429,0.742,0.5505226480836237,0.13325156915085493,0.06215621562156215,0.06215621562156215,-1.1907782055148934,0.061925642834809724,0.504,0.564,0.05719317508738144
FairAA_3Moment,100.0,3,0.8025540925031429,0.742,0.5505226480836237,0.13325156915085493,0.06215621562156215,0.06215621562156215,-1.1907782055148934,0.061925642834809724,0.504,0.564,0.05719317508738144
FairAA_Adv,0.0,3,0.8340832395950506,0.742,0.5798045602605864,0.16607748358704277,0.16116611661166114,0.16116611661166114,0.08007685333599013,0.13412454521359018,0.5429999999999999,0.5599999999999999,0.0682232512302374
FairAA_Adv,0.03,3,0.8338847349963608,0.742,0.5798045602605864,0.16607748358704277,0.16116611661166114,0.16116611661166114,0.08010165682049164,0.13078149008979245,0.541,0.5510000000000002,0.06727147941612524
FairAA_Adv,0.1,3,0.8334215575994177,0.738,0.5732899022801303,0.16607748358704277,0.15126512651265123,0.15126512651265123,0.08009576400808249,0.12395329447087977,0.5410000000000001,0.5650000000000001,0.06536968234554721
