method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
FairAA_3Moment,1.0,0.5408425434116445,0.54944,0.19713918866829694,0.019906414219504537,0.0982268977323853,0.09653333333333329,0.23038236730533804,0.0026379833998941243,0.4866864657618281,0.5157381335787133,0.002212722481200124,0.03254391094655587,0.029852526414582244,0.02155871185274249,0.015954231926799792,0.06863230204926946,0.07051674891931947,0.014757574266057854,0.0007828504924349521,0.0076761462979444105,0.03829473321761254,0.0008079412490489569
FairAA_3Moment,3.0,0.542266440225429,0.55488,0.19481601788702205,0.02490809867874036,0.09097596870065341,0.08845128205128201,0.21049326939086316,0.00328489243205624,0.48789409937888195,0.5167145656007974,0.002715780469288932,0.03463702801471639,0.06602292531133915,0.02233492465316757,0.02387917036512789,0.07156325257645885,0.07394196657066605,0.06897561287877231,0.0038117029676688124,0.010014787935791226,0.039886799310756296,0.006315367476459271
FairAA_3Moment,10.0,0.531031374961712,0.54176,0.19292301748512045,0.03651733847539203,0.13347299188532763,0.13220512820512814,-0.010828280119234203,0.009803987254305847,0.501258319914117,0.5023775822406257,0.015426596119968772,0.02856911734630472,0.05767240819201732,0.024192660775469593,0.03139250860675592,0.07120190796524803,0.07315770014503346,0.09906503452430537,0.004365186438100277,0.021891887215550503,0.02438678119023835,0.005713463554646506
FairAA_3Moment,30.0,0.531031374961712,0.54176,0.19292301748512045,0.03651733847539203,0.13347299188532763,0.13220512820512814,-0.010828280119234203,0.009803987254305847,0.501258319914117,0.5023775822406257,0.015426596119968772,0.02856911734630472,0.05767240819201732,0.024192660775469593,0.03139250860675592,0.07120190796524803,0.07315770014503346,0.09906503452430537,0.004365186438100277,0.021891887215550503,0.02438678119023835,0.005713463554646506
FairAA_3Moment,100.0,0.531031374961712,0.54176,0.19292301748512045,0.03651733847539203,0.13347299188532763,0.13220512820512814,-0.010828280119234203,0.009803987254305847,0.501258319914117,0.5023775822406257,0.015426596119968772,0.02856911734630472,0.05767240819201732,0.024192660775469593,0.03139250860675592,0.07120190796524803,0.07315770014503346,0.09906503452430537,0.004365186438100277,0.021891887215550503,0.02438678119023835,0.005713463554646506
FairAA_Adv,0.0,0.5409103773516695,0.55232,0.19690097189766398,0.04722222260874017,0.1100679335775732,0.09374358974358969,0.23164185398507603,0.012990036564030492,0.5148650563607086,0.508828383559543,0.017170608986110173,0.03212610268682023,0.02686807275063344,0.019768739999088604,0.0379430612182086,0.06181173977389511,0.0720760671547631,0.0149495903955888,0.007578857315995495,0.020400304173695222,0.02156312853534957,0.006825110615329539
FairAA_Adv,0.03,0.5409087430309341,0.552,0.19678618975876233,0.047794967779183295,0.110402661611046,0.09374358974358969,0.23164071215214652,0.01281411058553526,0.514075116938885,0.5118101986044015,0.016993602628331814,0.032117447293013746,0.026901053263146887,0.01973401906045797,0.03817429343312899,0.06141336381610579,0.0720760671547631,0.014952444674731669,0.007426811422339129,0.02034947451240425,0.021090182811589368,0.0067577967613513396
FairAA_Adv,0.1,0.5407762628782291,0.5516,0.19687725869168116,0.04704158451330165,0.11004112283702806,0.09528205128205122,0.2316405270325971,0.0124622432760557,0.5134610689364313,0.5064762709914884,0.016634566924012467,0.03202466782695407,0.026956755492207614,0.0195082309097928,0.0369539725741396,0.061584731973814054,0.07102162968091778,0.014952424635835281,0.0071321635143038594,0.020110206369336296,0.019988802425564795,0.006620829854821155
FairAA_Adv,0.3,0.5408275255921323,0.5505599999999999,0.19718639346697345,0.04333006181739693,0.10704344312418497,0.09353846153846149,0.23163541625670642,0.01163710183975038,0.5104075991104976,0.5063645387623649,0.01574936853757485,0.03201808522235097,0.027089481353470005,0.019583106203787982,0.03505590908459838,0.060379303195907466,0.06919942310302109,0.014951147998548353,0.006452447830701459,0.018952834299065524,0.01839973544378823,0.006285763940102899
FairAA_Adv,1.0,0.5408388646124601,0.54632,0.19729429040640617,0.03807697979950098,0.10193777786133901,0.09241025641025637,0.23159917639798838,0.009676314045649536,0.5028171996012576,0.5071205429031516,0.013388855105106423,0.032018994109938866,0.02819976359238966,0.01941713662631739,0.029886279253181592,0.06320284261094157,0.06938112826911082,0.014945178929122675,0.004795117901550073,0.01704232051336479,0.022933820695604155,0.005344301785465508
FairAA_Adv,3.0,0.5416064776654664,0.54608,0.19754751496210152,0.029356592478982035,0.10002363526966368,0.09561025641025638,0.23145575171746566,0.007267716339712548,0.49386084656084656,0.5156495322444598,0.009418870943761828,0.031000399549070086,0.028939477074289566,0.020498802629424502,0.01942107061003532,0.06922474035003186,0.0735830545814921,0.014928315432783232,0.002939408086954585,0.013093456558876986,0.026958481351938304,0.0038222136279210794
