method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
AA,,1,0.4664977477477477,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.22682976994480386,0.005306419552998876,0.49071428571428566,0.5278571428571428,0.006366121385486578
FairAA,0.0,1,0.4664977477477477,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.226829928061272,0.005306333656571571,0.49071428571428566,0.5278571428571428,0.006366158143165515
FairAA,0.03,1,0.46649774774774777,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.2268278438642195,0.005305907771880669,0.49071428571428566,0.5260714285714285,0.006359587938703494
FairAA,0.1,1,0.46657818532818535,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.22682778801379055,0.005289480069036734,0.49071428571428566,0.5364285714285714,0.0062980699831307885
FairAA,0.3,1,0.46641731016731014,0.54,0.15441176470588236,0.00624034997426659,0.08974358974358976,0.08974358974358976,0.22679938385421927,0.005179846445185876,0.49071428571428566,0.5246428571428572,0.00581323786613534
FairAA,1.0,1,0.46569337194337196,0.538,0.15384615384615385,0.0025090066906845454,0.08974358974358976,0.08974358974358976,0.22673116611353028,0.0050648714871733835,0.47339285714285717,0.5558928571428572,0.0030950052314999746
FairAA,3.0,1,0.49243886743886744,0.636,0.18018018018018017,0.02393206381883689,0.05128205128205132,0.05128205128205132,0.22654494114724466,0.0055639414527684505,0.47821428571428576,0.5810714285714285,0.000609934292848858
FairAA,10.0,1,0.47972972972972977,0.428,0.17341040462427745,0.035705095213587223,0.03956922574855182,0.00512820512820511,0.08010866460666488,0.00563877471381391,0.48142857142857143,0.45999999999999996,0.012148339637939563
FairAA,30.0,1,0.47972972972972977,0.428,0.17341040462427745,0.035705095213587223,0.03956922574855182,0.00512820512820511,0.08010866460666488,0.00563877471381391,0.48142857142857143,0.45999999999999996,0.012148339637939563
FairAA,100.0,1,0.47972972972972977,0.428,0.17341040462427745,0.035705095213587223,0.03956922574855182,0.00512820512820511,0.08010866460666488,0.00563877471381391,0.48142857142857143,0.45999999999999996,0.012148339637939563
FairAA_3Moment,0.0,1,0.4664977477477477,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.22682993203292212,0.005306333350931225,0.49071428571428566,0.5278571428571428,0.006366158108822073
